event_id,lead_id,event_time,event_type,purpose,project_id,project_name,payload_summary,source_package
EV-0001-01,L-0001,2026-06-25T08:00:00.000Z,session_started,buy,ccb8dd4b_0ad1_e811_a2b8_00155d119707,Ajman Corniche Residences,session_started for buy,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0001-02,L-0001,2026-06-25T08:01:00.000Z,intent_detected,buy,ccb8dd4b_0ad1_e811_a2b8_00155d119707,Ajman Corniche Residences,intent_detected for buy,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0001-03,L-0001,2026-06-25T08:02:00.000Z,slots_captured,buy,ccb8dd4b_0ad1_e811_a2b8_00155d119707,Ajman Corniche Residences,slots_captured for buy,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0001-04,L-0001,2026-06-25T08:03:00.000Z,recommendation_generated,buy,ccb8dd4b_0ad1_e811_a2b8_00155d119707,Ajman Corniche Residences,Recommended Ajman Corniche Residences using validated v3 project_id ccb8dd4b_0ad1_e811_a2b8_00155d119707,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0001-05,L-0001,2026-06-25T08:04:00.000Z,lead_scored,buy,ccb8dd4b_0ad1_e811_a2b8_00155d119707,Ajman Corniche Residences,lead_scored for buy,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0001-06,L-0001,2026-06-25T08:05:00.000Z,sales_handoff_created,buy,ccb8dd4b_0ad1_e811_a2b8_00155d119707,Ajman Corniche Residences,sales_handoff_created for buy,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0002-01,L-0002,2026-06-25T05:00:00.000Z,session_started,rent,2eb8dd4b_0ad1_e811_a2b8_00155d119707,Ajman One,session_started for rent,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0002-02,L-0002,2026-06-25T05:01:00.000Z,intent_detected,rent,2eb8dd4b_0ad1_e811_a2b8_00155d119707,Ajman One,intent_detected for rent,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0002-03,L-0002,2026-06-25T05:02:00.000Z,slots_captured,rent,2eb8dd4b_0ad1_e811_a2b8_00155d119707,Ajman One,slots_captured for rent,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0002-04,L-0002,2026-06-25T05:03:00.000Z,recommendation_generated,rent,2eb8dd4b_0ad1_e811_a2b8_00155d119707,Ajman One,Recommended Ajman One using validated v3 project_id 2eb8dd4b_0ad1_e811_a2b8_00155d119707,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0002-05,L-0002,2026-06-25T05:04:00.000Z,lead_scored,rent,2eb8dd4b_0ad1_e811_a2b8_00155d119707,Ajman One,lead_scored for rent,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0002-06,L-0002,2026-06-25T05:05:00.000Z,sales_handoff_created,rent,2eb8dd4b_0ad1_e811_a2b8_00155d119707,Ajman One,sales_handoff_created for rent,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0003-01,L-0003,2026-06-25T02:00:00.000Z,session_started,invest,22796319_20da_ee11_a2bf_00155d119841,Ajman One - PH II,session_started for invest,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0003-02,L-0003,2026-06-25T02:01:00.000Z,intent_detected,invest,22796319_20da_ee11_a2bf_00155d119841,Ajman One - PH II,intent_detected for invest,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0003-03,L-0003,2026-06-25T02:02:00.000Z,slots_captured,invest,22796319_20da_ee11_a2bf_00155d119841,Ajman One - PH II,slots_captured for invest,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0003-04,L-0003,2026-06-25T02:03:00.000Z,recommendation_generated,invest,22796319_20da_ee11_a2bf_00155d119841,Ajman One - PH II,Recommended Ajman One - PH II using validated v3 project_id 22796319_20da_ee11_a2bf_00155d119841,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0003-05,L-0003,2026-06-25T02:04:00.000Z,lead_scored,invest,22796319_20da_ee11_a2bf_00155d119841,Ajman One - PH II,lead_scored for invest,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0003-06,L-0003,2026-06-25T02:05:00.000Z,sales_handoff_created,invest,22796319_20da_ee11_a2bf_00155d119841,Ajman One - PH II,sales_handoff_created for invest,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0004-01,L-0004,2026-06-24T23:00:00.000Z,session_started,commercial,7f307ab5_a6a9_ea11_a2c3_00155d119619,Ajman Pearl,session_started for commercial,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0004-02,L-0004,2026-06-24T23:01:00.000Z,intent_detected,commercial,7f307ab5_a6a9_ea11_a2c3_00155d119619,Ajman Pearl,intent_detected for commercial,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0004-03,L-0004,2026-06-24T23:02:00.000Z,slots_captured,commercial,7f307ab5_a6a9_ea11_a2c3_00155d119619,Ajman Pearl,slots_captured for commercial,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0004-04,L-0004,2026-06-24T23:03:00.000Z,recommendation_generated,commercial,7f307ab5_a6a9_ea11_a2c3_00155d119619,Ajman Pearl,Recommended Ajman Pearl using validated v3 project_id 7f307ab5_a6a9_ea11_a2c3_00155d119619,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0004-05,L-0004,2026-06-24T23:04:00.000Z,lead_scored,commercial,7f307ab5_a6a9_ea11_a2c3_00155d119619,Ajman Pearl,lead_scored for commercial,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0004-06,L-0004,2026-06-24T23:05:00.000Z,sales_handoff_created,commercial,7f307ab5_a6a9_ea11_a2c3_00155d119619,Ajman Pearl,sales_handoff_created for commercial,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0005-01,L-0005,2026-06-24T20:00:00.000Z,session_started,buy,2a565476_ed0f_ee11_a2be_00155d119f33,Ajman Uptown,session_started for buy,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0005-02,L-0005,2026-06-24T20:01:00.000Z,intent_detected,buy,2a565476_ed0f_ee11_a2be_00155d119f33,Ajman Uptown,intent_detected for buy,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0005-03,L-0005,2026-06-24T20:02:00.000Z,slots_captured,buy,2a565476_ed0f_ee11_a2be_00155d119f33,Ajman Uptown,slots_captured for buy,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0005-04,L-0005,2026-06-24T20:03:00.000Z,recommendation_generated,buy,2a565476_ed0f_ee11_a2be_00155d119f33,Ajman Uptown,Recommended Ajman Uptown using validated v3 project_id 2a565476_ed0f_ee11_a2be_00155d119f33,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0005-05,L-0005,2026-06-24T20:04:00.000Z,lead_scored,buy,2a565476_ed0f_ee11_a2be_00155d119f33,Ajman Uptown,lead_scored for buy,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0005-06,L-0005,2026-06-24T20:05:00.000Z,sales_handoff_created,buy,2a565476_ed0f_ee11_a2be_00155d119f33,Ajman Uptown,sales_handoff_created for buy,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0006-01,L-0006,2026-06-24T17:00:00.000Z,session_started,rent,f6b7dd4b_0ad1_e811_a2b8_00155d119707,Al Andalus 4,session_started for rent,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0006-02,L-0006,2026-06-24T17:01:00.000Z,intent_detected,rent,f6b7dd4b_0ad1_e811_a2b8_00155d119707,Al Andalus 4,intent_detected for rent,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0006-03,L-0006,2026-06-24T17:02:00.000Z,slots_captured,rent,f6b7dd4b_0ad1_e811_a2b8_00155d119707,Al Andalus 4,slots_captured for rent,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0006-04,L-0006,2026-06-24T17:03:00.000Z,recommendation_generated,rent,f6b7dd4b_0ad1_e811_a2b8_00155d119707,Al Andalus 4,Recommended Al Andalus 4 using validated v3 project_id f6b7dd4b_0ad1_e811_a2b8_00155d119707,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0006-05,L-0006,2026-06-24T17:04:00.000Z,lead_scored,rent,f6b7dd4b_0ad1_e811_a2b8_00155d119707,Al Andalus 4,lead_scored for rent,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0006-06,L-0006,2026-06-24T17:05:00.000Z,sales_handoff_created,rent,f6b7dd4b_0ad1_e811_a2b8_00155d119707,Al Andalus 4,sales_handoff_created for rent,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0007-01,L-0007,2026-06-24T14:00:00.000Z,session_started,invest,96b8dd4b_0ad1_e811_a2b8_00155d119707,Al Arabi Building,session_started for invest,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0007-02,L-0007,2026-06-24T14:01:00.000Z,intent_detected,invest,96b8dd4b_0ad1_e811_a2b8_00155d119707,Al Arabi Building,intent_detected for invest,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0007-03,L-0007,2026-06-24T14:02:00.000Z,slots_captured,invest,96b8dd4b_0ad1_e811_a2b8_00155d119707,Al Arabi Building,slots_captured for invest,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0007-04,L-0007,2026-06-24T14:03:00.000Z,recommendation_generated,invest,96b8dd4b_0ad1_e811_a2b8_00155d119707,Al Arabi Building,Recommended Al Arabi Building using validated v3 project_id 96b8dd4b_0ad1_e811_a2b8_00155d119707,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0007-05,L-0007,2026-06-24T14:04:00.000Z,lead_scored,invest,96b8dd4b_0ad1_e811_a2b8_00155d119707,Al Arabi Building,lead_scored for invest,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0007-06,L-0007,2026-06-24T14:05:00.000Z,sales_handoff_created,invest,96b8dd4b_0ad1_e811_a2b8_00155d119707,Al Arabi Building,sales_handoff_created for invest,AQAAR-KB-ACQ-FINAL-v3.zip
EV-0008-01,L-0008,2026-06-24T11:00:00.000Z,session_started,commercial,3ab8dd4b_0ad1_e811_a2b8_00155d119707,Al Berouj 1,session_started for commercial,AQAAR-KB-ACQ-FINAL-v3.zip
