audit_id,entity_id,field_name,field_value,validation_rule,source_url,validated_at,result
AI-AUD-00001,AQ-L-0001,project_name,Ajman One - PH II,must exist in aqaar_projects_master,https://www.aqaar.com/ajman-one-phase2,2026-06-24,pass
AI-AUD-00002,AQ-L-0001,location,Ajman,must be official KB location or unknown,https://www.aqaar.com/ajman-one-phase2,2026-06-24,pass
AI-AUD-00003,AQ-L-0001,budget,budget derived from official published price or unknown,https://www.aqaar.com/ajman-one-phase2,unknown,2026-06-24,pass
AI-AUD-00004,AQ-L-0001,contact_fields,unknown,no synthetic personal data generated,https://www.aqaar.com/ajman-one-phase2,2026-06-24,pass
AI-AUD-00005,AQ-L-0002,project_name,Ajman Uptown,must exist in aqaar_projects_master,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Uptown&pageNumber=1&pageSize=100,2026-06-24,pass
AI-AUD-00006,AQ-L-0002,location,Ajman,must be official KB location or unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Uptown&pageNumber=1&pageSize=100,2026-06-24,pass
AI-AUD-00007,AQ-L-0002,budget,budget derived from official published price or unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Uptown&pageNumber=1&pageSize=100,unknown,2026-06-24,pass
AI-AUD-00008,AQ-L-0002,contact_fields,unknown,no synthetic personal data generated,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Uptown&pageNumber=1&pageSize=100,2026-06-24,pass
AI-AUD-00009,AQ-L-0003,project_name,Al Andalus 4,must exist in aqaar_projects_master,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Andalus%204&pageNumber=1&pageSize=100,2026-06-24,pass
AI-AUD-00010,AQ-L-0003,location,unknown,must be official KB location or unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Andalus%204&pageNumber=1&pageSize=100,2026-06-24,pass
AI-AUD-00011,AQ-L-0003,budget,budget derived from official published price or unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Andalus%204&pageNumber=1&pageSize=100,unknown,2026-06-24,pass
AI-AUD-00012,AQ-L-0003,contact_fields,unknown,no synthetic personal data generated,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Andalus%204&pageNumber=1&pageSize=100,2026-06-24,pass
AI-AUD-00013,AQ-L-0004,project_name,Al Arabi Building,must exist in aqaar_projects_master,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Arabi%20Building&pageNumber=1&pageSize=100,2026-06-24,pass
AI-AUD-00014,AQ-L-0004,location,unknown,must be official KB location or unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Arabi%20Building&pageNumber=1&pageSize=100,2026-06-24,pass
AI-AUD-00015,AQ-L-0004,budget,budget derived from official published price or unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Arabi%20Building&pageNumber=1&pageSize=100,unknown,2026-06-24,pass
