property_id,location_name,city,district,community,nearest_landmark,nearest_mall,nearest_school,nearest_hospital,nearest_beach,nearest_airport,nearest_highway,latitude,longitude,source_url,last_verified,confidence_score
60b8dd4b_0ad1_e811_a2b8_00155d119707,Ajman,Ajman,Ajman,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.417402,55.502815,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20American%20International%20School&pageNumber=1&pageSize=100,2026-06-24,0.60
ccb8dd4b_0ad1_e811_a2b8_00155d119707,Ajman Corniche,Ajman,Ajman Corniche,Ajman Corniche,Ajman Corniche,unknown,unknown,unknown,Ajman Corniche waterfront,unknown,unknown,25.4045314,55.4300412,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Corniche%20Residences&pageNumber=1&pageSize=100,2026-06-24,0.80
2eb8dd4b_0ad1_e811_a2b8_00155d119707,Ajman,Ajman,Ajman,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.394384,55.4312389,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20One&pageNumber=1&pageSize=100,2026-06-24,0.80
22796319_20da_ee11_a2bf_00155d119841,Ajman,Ajman,Ajman,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,https://www.aqaar.com/ajman-one-phase2,2026-06-24,0.94
7f307ab5_a6a9_ea11_a2c3_00155d119619,Ajman,Ajman,Ajman,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.3925983,55.4680152,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Pearl&pageNumber=1&pageSize=100,2026-06-24,0.80
66b8dd4b_0ad1_e811_a2b8_00155d119707,Rumaila 1,Ajman,Rumaila 1,Rumaila 1,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.4004258,55.4335779,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Society%20Cooperative%20(Rumailah)&pageNumber=1&pageSize=100,2026-06-24,0.60
2a565476_ed0f_ee11_a2be_00155d119f33,Ajman,Ajman,Ajman,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Uptown&pageNumber=1&pageSize=100,2026-06-24,0.72
f6b7dd4b_0ad1_e811_a2b8_00155d119707,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.392999,55.435431,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Andalus%204&pageNumber=1&pageSize=100,2026-06-24,0.80
96b8dd4b_0ad1_e811_a2b8_00155d119707,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.405031,55.44081,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Arabi%20Building&pageNumber=1&pageSize=100,2026-06-24,0.80
3ab8dd4b_0ad1_e811_a2b8_00155d119707,unknown,Ajman,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,25.403287,55.440907,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Berouj%201&pageNumber=1&pageSize=100,2026-06-24,0.80
