property_id,property_name,developer,city,district,community,country,property_type,sub_type,ownership_type,status,completion_status,launch_year,handover_year,source_url,last_verified,confidence_score
60b8dd4b_0ad1_e811_a2b8_00155d119707,Ajman American International School,Aqaar,Ajman,unknown,unknown,United Arab Emirates,education,education,unknown,active,unknown,unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20American%20International%20School&pageNumber=1&pageSize=100,2026-06-24,0.62
ccb8dd4b_0ad1_e811_a2b8_00155d119707,Ajman Corniche Residences,Aqaar,Ajman,unknown,unknown,United Arab Emirates,residential,residential,unknown,sold_out,100% Sold out,unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Corniche%20Residences&pageNumber=1&pageSize=100,2026-06-24,0.86
2eb8dd4b_0ad1_e811_a2b8_00155d119707,Ajman One,Aqaar,Ajman,unknown,unknown,United Arab Emirates,residential,residential,unknown,sold_out,100% Sold out,unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20One&pageNumber=1&pageSize=100,2026-06-24,0.86
22796319_20da_ee11_a2bf_00155d119841,Ajman One - PH II,Aqaar,Ajman,unknown,unknown,United Arab Emirates,residential,FreeHold,unknown,active,"Townhouse,1,2,3 bedroom for sale",unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20One%20-%20PH%20II&pageNumber=1&pageSize=100,2026-06-24,0.62
7f307ab5_a6a9_ea11_a2c3_00155d119619,Ajman Pearl,Aqaar,Ajman,unknown,unknown,United Arab Emirates,residential,residential,unknown,sold_out,100% Sold out,unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Pearl&pageNumber=1&pageSize=100,2026-06-24,0.86
66b8dd4b_0ad1_e811_a2b8_00155d119707,Ajman Society Cooperative (Rumailah),Aqaar,Ajman,unknown,unknown,United Arab Emirates,mixed_use,mixed_use,unknown,active,unknown,unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Society%20Cooperative%20(Rumailah)&pageNumber=1&pageSize=100,2026-06-24,0.62
2a565476_ed0f_ee11_a2be_00155d119f33,Ajman Uptown,Aqaar,Ajman,unknown,unknown,United Arab Emirates,residential,residential,unknown,active,unknown,unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Uptown&pageNumber=1&pageSize=100,2026-06-24,0.86
f6b7dd4b_0ad1_e811_a2b8_00155d119707,Al Andalus 4,Aqaar,Ajman,unknown,unknown,United Arab Emirates,residential,residential,unknown,active,"1,2,3 Bedrooms for rent",unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Andalus%204&pageNumber=1&pageSize=100,2026-06-24,0.86
96b8dd4b_0ad1_e811_a2b8_00155d119707,Al Arabi Building,Aqaar,Ajman,unknown,unknown,United Arab Emirates,residential,residential,unknown,active,"1,2,3 Bedrooms for rent",unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Arabi%20Building&pageNumber=1&pageSize=100,2026-06-24,0.86
3ab8dd4b_0ad1_e811_a2b8_00155d119707,Al Berouj 1,Aqaar,Ajman,unknown,unknown,United Arab Emirates,residential,residential,unknown,active,"1,2,3 Bedrooms for rent",unknown,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Berouj%201&pageNumber=1&pageSize=100,2026-06-24,0.86
