unit_id,property_id,property_name,unit_type,bedrooms_min,bedrooms_max,bathrooms_min,bathrooms_max,area_min_sqft,area_max_sqft,price_min,price_max,currency,payment_plan,down_payment,installment_years,availability_status,price_status,price_source,last_verified,confidence_score
60b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,60b8dd4b_0ad1_e811_a2b8_00155d119707,Ajman American International School,Education,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,active,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20American%20International%20School&pageNumber=1&pageSize=100,2026-06-24,0.60
ccb8dd4b_0ad1_e811_a2b8_00155d119707_inventory,ccb8dd4b_0ad1_e811_a2b8_00155d119707,Ajman Corniche Residences,Commercial,unknown,unknown,unknown,unknown,unknown,unknown,236000,236000,AED,unknown,unknown,unknown,sold_out,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Corniche%20Residences&pageNumber=1&pageSize=100,2026-06-24,0.80
2eb8dd4b_0ad1_e811_a2b8_00155d119707_inventory,2eb8dd4b_0ad1_e811_a2b8_00155d119707,Ajman One,Commercial,unknown,unknown,unknown,unknown,unknown,unknown,263000,263000,AED,unknown,unknown,unknown,sold_out,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20One&pageNumber=1&pageSize=100,2026-06-24,0.80
22796319_20da_ee11_a2bf_00155d119841_inventory,22796319_20da_ee11_a2bf_00155d119841,Ajman One - PH II,Freehold,1,3,unknown,unknown,unknown,unknown,316000,316000,AED,5% Down payment | 1% Monthly installment,5%,1% monthly installment,active,official_published_start_price,https://www.aqaar.com/ajman-one-phase2,2026-06-24,0.94
7f307ab5_a6a9_ea11_a2c3_00155d119619_inventory,7f307ab5_a6a9_ea11_a2c3_00155d119619,Ajman Pearl,Commercial,unknown,unknown,unknown,unknown,unknown,unknown,183500,183500,AED,unknown,unknown,unknown,sold_out,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Pearl&pageNumber=1&pageSize=100,2026-06-24,0.80
66b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,66b8dd4b_0ad1_e811_a2b8_00155d119707,Ajman Society Cooperative (Rumailah),Commercial,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,active,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Society%20Cooperative%20(Rumailah)&pageNumber=1&pageSize=100,2026-06-24,0.60
2a565476_ed0f_ee11_a2be_00155d119f33_inventory,2a565476_ed0f_ee11_a2be_00155d119f33,Ajman Uptown,Commercial,unknown,unknown,unknown,unknown,unknown,unknown,979000,979000,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Uptown&pageNumber=1&pageSize=100,2026-06-24,0.72
f6b7dd4b_0ad1_e811_a2b8_00155d119707_inventory,f6b7dd4b_0ad1_e811_a2b8_00155d119707,Al Andalus 4,Commercial,1,3,unknown,unknown,unknown,unknown,20000,20000,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Andalus%204&pageNumber=1&pageSize=100,2026-06-24,0.80
96b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,96b8dd4b_0ad1_e811_a2b8_00155d119707,Al Arabi Building,Commercial,1,3,unknown,unknown,unknown,unknown,35500,35500,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Arabi%20Building&pageNumber=1&pageSize=100,2026-06-24,0.80
3ab8dd4b_0ad1_e811_a2b8_00155d119707_inventory,3ab8dd4b_0ad1_e811_a2b8_00155d119707,Al Berouj 1,Commercial,1,3,unknown,unknown,unknown,unknown,19200,19200,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Berouj%201&pageNumber=1&pageSize=100,2026-06-24,0.80
3cb8dd4b_0ad1_e811_a2b8_00155d119707_inventory,3cb8dd4b_0ad1_e811_a2b8_00155d119707,Al Berouj 2,Commercial,0,3,unknown,unknown,unknown,unknown,15600,15600,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Berouj%202&pageNumber=1&pageSize=100,2026-06-24,0.80
3eb8dd4b_0ad1_e811_a2b8_00155d119707_inventory,3eb8dd4b_0ad1_e811_a2b8_00155d119707,Al Berouj 3,Commercial,0,3,unknown,unknown,unknown,unknown,15600,15600,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Berouj%203&pageNumber=1&pageSize=100,2026-06-24,0.80
40b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,40b8dd4b_0ad1_e811_a2b8_00155d119707,Al Berouj 4,Commercial,0,3,unknown,unknown,unknown,unknown,15600,15600,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Berouj%204&pageNumber=1&pageSize=100,2026-06-24,0.80
ecb7dd4b_0ad1_e811_a2b8_00155d119707_inventory,ecb7dd4b_0ad1_e811_a2b8_00155d119707,Al Bustan,Commercial,1,3,unknown,unknown,unknown,unknown,36000,36000,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Bustan&pageNumber=1&pageSize=100,2026-06-24,0.80
