page_id,page_title,url,page_type,last_verified
robots,Robots.txt,https://www.aqaar.com/robots.txt,technical,2026-06-24
sitemap,Primary sitemap,https://www.aqaar.com/sitemap.xml,technical,2026-06-24
home,Aqaar home,https://www.aqaar.com/,homepage,2026-06-24
home_en,Aqaar English route,https://www.aqaar.com/en,homepage,2026-06-24
home_ar,Aqaar Arabic route,https://www.aqaar.com/ar,homepage,2026-06-24
about_ajman,About Ajman,https://www.aqaar.com/about-us-ajman,company_page,2026-06-24
about_aqaar,About Aqaar,https://www.aqaar.com/about-us-aqaar,company_page,2026-06-24
about_ajman_ar,About Ajman Arabic,https://www.aqaar.com/ar/about-us-ajman,company_page,2026-06-24
about_aqaar_ar,About Aqaar Arabic,https://www.aqaar.com/ar/about-us-aqaar,company_page,2026-06-24
buy,Property for buy,https://www.aqaar.com/property-for-buy,property_search,2026-06-24
buy_ar,Property for buy Arabic,https://www.aqaar.com/ar/property-for-buy,property_search,2026-06-24
rent,Property for rent,https://www.aqaar.com/property-for-rent,property_search,2026-06-24
unit_rent,Unit for rent,https://www.aqaar.com/unit-for-rent,property_search,2026-06-24
mawjan,Mawjan,https://www.aqaar.com/mawjan,project_landing,2026-06-24
dusit_thani,Dusit Thani,https://www.aqaar.com/dusit-thani,project_landing,2026-06-24
faq,FAQ,https://www.aqaar.com/faq,support,2026-06-24
contact,Contact us Ajman,https://www.aqaar.com/contact-us-ajman,support,2026-06-24
quick_pay,Quick Pay,https://www.aqaar.com/quick-pay,tenant_service,2026-06-24
register,Register,https://www.aqaar.com/register,tenant_service,2026-06-24
document_center,Document Center,https://www.aqaar.com/document-center,tenant_service,2026-06-24
career,Career,https://www.aqaar.com/career,company_page,2026-06-24
privacy,Privacy Policy,https://www.aqaar.com/privacy-policy,policy,2026-06-24
api_filters,Project search filters,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,official_api,2026-06-24
api_global,Global project search,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=&pageNumber=1&pageSize=500,official_api,2026-06-24
api_trending,Trending projects,https://prodadmin-aqaar.realcube.estate/api/getTrendingProject,official_api,2026-06-24
api_upcoming,Upcoming projects,https://prodadmin-aqaar.realcube.estate/api/getUpcomingProject,official_api,2026-06-24
