audit_id,entity_id,field_name,field_value,source_url,evidence_snippet,extraction_date,confidence_score
AUD-000001,118140000,amenity_id,118140000,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140000 | amenity_name: Central AC | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000002,118140000,amenity_name,Central AC,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140000 | amenity_name: Central AC | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000003,118140000,source_url,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140000 | amenity_name: Central AC | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000004,118140000,last_verified,2026-06-24,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140000 | amenity_name: Central AC | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000005,118140001,amenity_id,118140001,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140001 | amenity_name: Gym | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000006,118140001,amenity_name,Gym,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140001 | amenity_name: Gym | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000007,118140001,source_url,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140001 | amenity_name: Gym | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000008,118140001,last_verified,2026-06-24,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140001 | amenity_name: Gym | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000009,118140002,amenity_id,118140002,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140002 | amenity_name: Swimming Pool | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000010,118140002,amenity_name,Swimming Pool,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140002 | amenity_name: Swimming Pool | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000011,118140002,source_url,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140002 | amenity_name: Swimming Pool | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000012,118140002,last_verified,2026-06-24,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140002 | amenity_name: Swimming Pool | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000013,118140003,amenity_id,118140003,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140003 | amenity_name: Kids play area | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000014,118140003,amenity_name,Kids play area,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140003 | amenity_name: Kids play area | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000015,118140003,source_url,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140003 | amenity_name: Kids play area | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000016,118140003,last_verified,2026-06-24,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140003 | amenity_name: Kids play area | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000017,118140004,amenity_id,118140004,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140004 | amenity_name: Garden | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000018,118140004,amenity_name,Garden,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140004 | amenity_name: Garden | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000019,118140004,source_url,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140004 | amenity_name: Garden | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000020,118140004,last_verified,2026-06-24,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140004 | amenity_name: Garden | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000021,118140005,amenity_id,118140005,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140005 | amenity_name: Satellite/Cable TV | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000022,118140005,amenity_name,Satellite/Cable TV,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140005 | amenity_name: Satellite/Cable TV | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000023,118140005,source_url,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140005 | amenity_name: Satellite/Cable TV | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000024,118140005,last_verified,2026-06-24,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140005 | amenity_name: Satellite/Cable TV | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000025,118140006,amenity_id,118140006,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140006 | amenity_name: CCTV Security | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000026,118140006,amenity_name,CCTV Security,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140006 | amenity_name: CCTV Security | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000027,118140006,source_url,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140006 | amenity_name: CCTV Security | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000028,118140006,last_verified,2026-06-24,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140006 | amenity_name: CCTV Security | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000029,118140007,amenity_id,118140007,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140007 | amenity_name: ATM Facility | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000030,118140007,amenity_name,ATM Facility,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140007 | amenity_name: ATM Facility | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000031,118140007,source_url,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140007 | amenity_name: ATM Facility | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000032,118140007,last_verified,2026-06-24,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140007 | amenity_name: ATM Facility | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000033,118140008,amenity_id,118140008,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140008 | amenity_name: Covered Parking | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000034,118140008,amenity_name,Covered Parking,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140008 | amenity_name: Covered Parking | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000035,118140008,source_url,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140008 | amenity_name: Covered Parking | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000036,118140008,last_verified,2026-06-24,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140008 | amenity_name: Covered Parking | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000037,118140009,amenity_id,118140009,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140009 | amenity_name: Facilities for Disabled | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000038,118140009,amenity_name,Facilities for Disabled,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140009 | amenity_name: Facilities for Disabled | last_verified: 2026-06-24,2026-06-24,0.90
AUD-000039,118140009,source_url,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,https://prodadmin-aqaar.realcube.estate/api/projectSearchFilters,amenity_id: 118140009 | amenity_name: Facilities for Disabled | last_verified: 2026-06-24,2026-06-24,0.90
