asset_id,asset_type,title,url,project,developer,source_page
asset_1,image,favicon.ico,https://www.aqaar.com/favicon.ico,unknown,Aqaar,https://www.aqaar.com/sitemap-0.xml
asset_2,image,property-img-1.webp,http://localhost:3200/public/images/property-img-1.webp,unknown,Aqaar,https://www.aqaar.com/server-sitemap.xml
asset_3,image,og-images.png,https://www.aqaar.com/images/og-images.png,unknown,Aqaar,https://www.aqaar.com/
asset_4,image,property-img-1.webp,https://www.aqaar.com/images/property-img-1.webp,unknown,Aqaar,https://www.aqaar.com/
project_image_ccb8dd4b_0ad1_e811_a2b8_00155d119707,image,Ajman Corniche Residences primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728617872/Aqaar/Main%20Portal/community/images/Ajman_Corniche_Residences/408411956-1728617872.jpg,Ajman Corniche Residences,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Corniche%20Residences&pageNumber=1&pageSize=100
project_image_2eb8dd4b_0ad1_e811_a2b8_00155d119707,image,Ajman One primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1727932428/Aqaar/Main%20Portal/community/images/Ajman_One/Artboard%204-1727932428.png,Ajman One,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20One&pageNumber=1&pageSize=100
project_image_22796319_20da_ee11_a2bf_00155d119841,image,Ajman One - PH II primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728877145/Aqaar/Main%20Portal/community/images/Ajman_One_PH_II/02-BEDROOM%2003-1728877145.jpg,Ajman One - PH II,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20One%20-%20PH%20II&pageNumber=1&pageSize=100
project_image_7f307ab5_a6a9_ea11_a2c3_00155d119619,image,Ajman Pearl primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728629177/Aqaar/Main%20Portal/community/images/Ajman_Pearl/4333-1728629177.png,Ajman Pearl,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Pearl&pageNumber=1&pageSize=100
project_image_f6b7dd4b_0ad1_e811_a2b8_00155d119707,image,Al Andalus 4 primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728629764/Aqaar/Main%20Portal/community/images/Al_Andalus_4/_DSC1988-1728629764.jpg,Al Andalus 4,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Andalus%204&pageNumber=1&pageSize=100
project_image_96b8dd4b_0ad1_e811_a2b8_00155d119707,image,Al Arabi Building primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728554493/Aqaar/Main%20Portal/community/images/Al_Arabi_Building/_DSC1783-1728554493.jpg,Al Arabi Building,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Arabi%20Building&pageNumber=1&pageSize=100
project_image_3ab8dd4b_0ad1_e811_a2b8_00155d119707,image,Al Berouj 1 primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728879447/Aqaar/Main%20Portal/community/images/Al_Berouj_1/B1-1728879447.png,Al Berouj 1,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Berouj%201&pageNumber=1&pageSize=100
