project_id,project_name,developer,developer_id,country,city,district,community,subcommunity,latitude,longitude,property_type,sub_type,ownership_type,status,completion_status,launch_year,handover_year,project_description,official_project_url,project_code,project_for,sales_status_text,start_price,currency,price_status,telephone,email,whatsapp,primary_image_url,source_links_json,last_verified,confidence_score
60b8dd4b_0ad1_e811_a2b8_00155d119707,Ajman American International School,Aqaar,aqaar,United Arab Emirates,Ajman,unknown,unknown,unknown,25.417402,55.502815,education,education,unknown,active,unknown,unknown,unknown,unknown,https://www.aqaar.com/projects/60b8dd4b-0ad1-e811-a2b8-00155d119707,PRJ-63,Leasing,unknown,unknown,unknown,on_request,600515155,info@aqaar.com,unknown,unknown,"[""https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20American%20International%20School&pageNumber=1&pageSize=100""]",2026-06-24,0.62
ccb8dd4b_0ad1_e811_a2b8_00155d119707,Ajman Corniche Residences,Aqaar,aqaar,United Arab Emirates,Ajman,unknown,unknown,unknown,25.4045314,55.4300412,residential,residential,unknown,sold_out,100% Sold out,unknown,unknown,"Ajman Corniche Residences is a premier real estate development that exemplifies thoughtful design and modern living. The project offers a mix of residential units and commercial spaces, catering to a variety of customer needs. With its blend of contemporary architecture and quality craftsmanship, the development ensures a comfortable and refined living experience for its residents. The units within the project feature diverse layouts and high-quality finishes, meeting global standards to provide a sophisticated environment. Whether it's spacious family flat or modern apartments, each property is designed to accommodate a wide range of preferences. Located in a prime and accessible area, This Project is strategically positioned close to key urban hubs, making it a convenient choice for both families and professionals. With its attention to detail and focus on delivering a high-quality living experience, It is the perfect choice for those seeking a distinctive and well-rounded residential or commercial property.",https://www.aqaar.com/projects/ccb8dd4b-0ad1-e811-a2b8-00155d119707,PRJ-117,Sales,100% Sold out,236000,AED,official,600515155,info@aqaar.com,971600515155,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728617872/Aqaar/Main%20Portal/community/images/Ajman_Corniche_Residences/408411956-1728617872.jpg,"[""https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Corniche%20Residences&pageNumber=1&pageSize=100""]",2026-06-24,0.86
2eb8dd4b_0ad1_e811_a2b8_00155d119707,Ajman One,Aqaar,aqaar,United Arab Emirates,Ajman,unknown,unknown,unknown,25.394384,55.4312389,residential,residential,unknown,sold_out,100% Sold out,unknown,unknown,"Ajman One is a premier real estate development that exemplifies thoughtful design and modern living. The project offers a mix of residential units and commercial spaces, catering to a variety of customer needs. With its blend of contemporary architecture and quality craftsmanship, the development ensures a comfortable and refined living experience for its residents. The units within the project feature diverse layouts and high-quality finishes, meeting global standards to provide a sophisticated environment. Whether it's spacious family flat or modern apartments, each property is designed to accommodate a wide range of preferences. Located in a prime and accessible area, This Project is strategically positioned close to key urban hubs, making it a convenient choice for both families and professionals. With its attention to detail and focus on delivering a high-quality living experience, It is the perfect choice for those seeking a distinctive and well-rounded residential or commercial property.",https://www.aqaar.com/projects/2eb8dd4b-0ad1-e811-a2b8-00155d119707,PRJ-38,Sales,100% Sold out,263000,AED,official,600515155,info@aqaar.com,971600515155,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1727932428/Aqaar/Main%20Portal/community/images/Ajman_One/Artboard%204-1727932428.png,"[""https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20One&pageNumber=1&pageSize=100""]",2026-06-24,0.86
22796319_20da_ee11_a2bf_00155d119841,Ajman One - PH II,Aqaar,aqaar,United Arab Emirates,Ajman,unknown,unknown,unknown,unknown,unknown,residential,FreeHold,unknown,active,"Townhouse,1,2,3 bedroom for sale",unknown,unknown,unknown,https://www.aqaar.com/projects/22796319-20da-ee11-a2bf-00155d119841,PRJ-164,Sales,"Townhouse,1,2,3 bedroom for sale",316000,AED,official,unknown,unknown,unknown,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728877145/Aqaar/Main%20Portal/community/images/Ajman_One_PH_II/02-BEDROOM%2003-1728877145.jpg,"[""https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20One%20-%20PH%20II&pageNumber=1&pageSize=100""]",2026-06-24,0.62
7f307ab5_a6a9_ea11_a2c3_00155d119619,Ajman Pearl,Aqaar,aqaar,United Arab Emirates,Ajman,unknown,unknown,unknown,25.3925983,55.4680152,residential,residential,unknown,sold_out,100% Sold out,unknown,unknown,"Ajman Pearl is a premier real estate development that exemplifies thoughtful design and modern living. The project offers a mix of residential units and commercial spaces, catering to a variety of customer needs. With its blend of contemporary architecture and quality craftsmanship, the development ensures a comfortable and refined living experience for its residents. The units within the project feature diverse layouts and high-quality finishes, meeting global standards to provide a sophisticated environment. Whether it's spacious family flat or modern apartments, each property is designed to accommodate a wide range of preferences. Located in a prime and accessible area, This Project is strategically positioned close to key urban hubs, making it a convenient choice for both families and professionals. With its attention to detail and focus on delivering a high-quality living experience, It is the perfect choice for those seeking a distinctive and well-rounded residential or commercial property.",https://www.aqaar.com/projects/7f307ab5-a6a9-ea11-a2c3-00155d119619,PRJ-129,Sales,100% Sold out,183500,AED,official,600515155,info@aqaar.com,971600515155,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728629177/Aqaar/Main%20Portal/community/images/Ajman_Pearl/4333-1728629177.png,"[""https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Pearl&pageNumber=1&pageSize=100""]",2026-06-24,0.86
66b8dd4b_0ad1_e811_a2b8_00155d119707,Ajman Society Cooperative (Rumailah),Aqaar,aqaar,United Arab Emirates,Ajman,unknown,unknown,unknown,25.4004258,55.4335779,mixed_use,mixed_use,unknown,active,unknown,unknown,unknown,unknown,https://www.aqaar.com/projects/66b8dd4b-0ad1-e811-a2b8-00155d119707,PRJ-66,Leasing,unknown,unknown,unknown,on_request,600515155,info@aqaar.com,unknown,unknown,"[""https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Society%20Cooperative%20(Rumailah)&pageNumber=1&pageSize=100""]",2026-06-24,0.62
2a565476_ed0f_ee11_a2be_00155d119f33,Ajman Uptown,Aqaar,aqaar,United Arab Emirates,Ajman,unknown,unknown,unknown,unknown,unknown,residential,residential,unknown,active,unknown,unknown,unknown,"Ajman Uptown is a premier real estate development that exemplifies thoughtful design and modern living. The project offers a mix of residential units and commercial spaces, catering to a variety of customer needs. With its blend of contemporary architecture and quality craftsmanship, the development ensures a comfortable and refined living experience for its residents. The units within the project feature diverse layouts and high-quality finishes, meeting global standards to provide a sophisticated environment. Whether it's spacious family flat or modern apartments, each property is designed to accommodate a wide range of preferences. Located in a prime and accessible area, This Project is strategically positioned close to key urban hubs, making it a convenient choice for both families and professionals. With its attention to detail and focus on delivering a high-quality living experience, It is the perfect choice for those seeking a distinctive and well-rounded residential or commercial property.",https://www.aqaar.com/projects/2a565476-ed0f-ee11-a2be-00155d119f33,PRJ-157,Sales,unknown,979000,AED,official,600515155,info@aqaar.com,971600515155,unknown,"[""https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Uptown&pageNumber=1&pageSize=100""]",2026-06-24,0.86
f6b7dd4b_0ad1_e811_a2b8_00155d119707,Al Andalus 4,Aqaar,aqaar,United Arab Emirates,Ajman,unknown,unknown,unknown,25.392999,55.435431,residential,residential,unknown,active,"1,2,3 Bedrooms for rent",unknown,unknown,"Al Andalus 4 is a premier real estate development that exemplifies thoughtful design and modern living. The project offers a mix of residential units and commercial spaces, catering to a variety of customer needs. With its blend of contemporary architecture and quality craftsmanship, the development ensures a comfortable and refined living experience for its residents. The units within the project feature diverse layouts and high-quality finishes, meeting global standards to provide a sophisticated environment. Whether it's spacious family flat or modern apartments, each property is designed to accommodate a wide range of preferences. Located in a prime and accessible area, This Project is strategically positioned close to key urban hubs, making it a convenient choice for both families and professionals. With its attention to detail and focus on delivering a high-quality living experience, It is the perfect choice for those seeking a distinctive and well-rounded residential or commercial property.",https://www.aqaar.com/projects/f6b7dd4b-0ad1-e811-a2b8-00155d119707,PRJ-10,Leasing,"1,2,3 Bedrooms for rent",20000,AED,official,600515155,info@aqaar.com,971543087467,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728629764/Aqaar/Main%20Portal/community/images/Al_Andalus_4/_DSC1988-1728629764.jpg,"[""https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Andalus%204&pageNumber=1&pageSize=100""]",2026-06-24,0.86
96b8dd4b_0ad1_e811_a2b8_00155d119707,Al Arabi Building,Aqaar,aqaar,United Arab Emirates,Ajman,unknown,unknown,unknown,25.405031,55.44081,residential,residential,unknown,active,"1,2,3 Bedrooms for rent",unknown,unknown,"Al Arabi Building is a premier real estate development that exemplifies thoughtful design and modern living. The project offers a mix of residential units and commercial spaces, catering to a variety of customer needs. With its blend of contemporary architecture and quality craftsmanship, the development ensures a comfortable and refined living experience for its residents. The units within the project feature diverse layouts and high-quality finishes, meeting global standards to provide a sophisticated environment. Whether it's spacious family flat or modern apartments, each property is designed to accommodate a wide range of preferences. Located in a prime and accessible area, This Project is strategically positioned close to key urban hubs, making it a convenient choice for both families and professionals. With its attention to detail and focus on delivering a high-quality living experience, It is the perfect choice for those seeking a distinctive and well-rounded residential or commercial property.",https://www.aqaar.com/projects/96b8dd4b-0ad1-e811-a2b8-00155d119707,PRJ-90,Leasing,"1,2,3 Bedrooms for rent",35500,AED,official,600515155,info@aqaar.com,971600515155,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728554493/Aqaar/Main%20Portal/community/images/Al_Arabi_Building/_DSC1783-1728554493.jpg,"[""https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Arabi%20Building&pageNumber=1&pageSize=100""]",2026-06-24,0.86
3ab8dd4b_0ad1_e811_a2b8_00155d119707,Al Berouj 1,Aqaar,aqaar,United Arab Emirates,Ajman,unknown,unknown,unknown,25.403287,55.440907,residential,residential,unknown,active,"1,2,3 Bedrooms for rent",unknown,unknown,"Al Berouj 1 is a premier real estate development that exemplifies thoughtful design and modern living. The project offers a mix of residential units and commercial spaces, catering to a variety of customer needs. With its blend of contemporary architecture and quality craftsmanship, the development ensures a comfortable and refined living experience for its residents. The units within the project feature diverse layouts and high-quality finishes, meeting global standards to provide a sophisticated environment. Whether it's spacious family flat or modern apartments, each property is designed to accommodate a wide range of preferences. Located in a prime and accessible area, This Project is strategically positioned close to key urban hubs, making it a convenient choice for both families and professionals. With its attention to detail and focus on delivering a high-quality living experience, It is the perfect choice for those seeking a distinctive and well-rounded residential or commercial property.",https://www.aqaar.com/projects/3ab8dd4b-0ad1-e811-a2b8-00155d119707,PRJ-44,Leasing,"1,2,3 Bedrooms for rent",19200,AED,official,600515155,info@aqaar.com,971600515155,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728879447/Aqaar/Main%20Portal/community/images/Al_Berouj_1/B1-1728879447.png,"[""https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Berouj%201&pageNumber=1&pageSize=100""]",2026-06-24,0.86
3cb8dd4b_0ad1_e811_a2b8_00155d119707,Al Berouj 2,Aqaar,aqaar,United Arab Emirates,Ajman,unknown,unknown,unknown,unknown,unknown,residential,residential,unknown,active,"Studio, 1, 2, 3 Bedrooms for rent",unknown,unknown,"Al Berouj 2 is a premier real estate development that exemplifies thoughtful design and modern living. The project offers a mix of residential units and commercial spaces, catering to a variety of customer needs. With its blend of contemporary architecture and quality craftsmanship, the development ensures a comfortable and refined living experience for its residents. The units within the project feature diverse layouts and high-quality finishes, meeting global standards to provide a sophisticated environment. Whether it's spacious family flat or modern apartments, each property is designed to accommodate a wide range of preferences. Located in a prime and accessible area, This Project is strategically positioned close to key urban hubs, making it a convenient choice for both families and professionals. With its attention to detail and focus on delivering a high-quality living experience, It is the perfect choice for those seeking a distinctive and well-rounded residential or commercial property.",https://www.aqaar.com/projects/3cb8dd4b-0ad1-e811-a2b8-00155d119707,PRJ-45,Leasing,"Studio, 1, 2, 3 Bedrooms for rent",15600,AED,official,600515155,info@aqaar.com,971600515155,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728879604/Aqaar/Main%20Portal/community/images/Al_Berouj_2/_DSC1835-1728879604.jpg,"[""https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Berouj%202&pageNumber=1&pageSize=100""]",2026-06-24,0.86
3eb8dd4b_0ad1_e811_a2b8_00155d119707,Al Berouj 3,Aqaar,aqaar,United Arab Emirates,Ajman,unknown,unknown,unknown,unknown,unknown,residential,residential,unknown,active,"Studio, 1, 2, 3 Bedrooms for rent",unknown,unknown,"Al Berouj 3 is a premier real estate development that exemplifies thoughtful design and modern living. The project offers a mix of residential units and commercial spaces, catering to a variety of customer needs. With its blend of contemporary architecture and quality craftsmanship, the development ensures a comfortable and refined living experience for its residents. The units within the project feature diverse layouts and high-quality finishes, meeting global standards to provide a sophisticated environment. Whether it's spacious family flat or modern apartments, each property is designed to accommodate a wide range of preferences. Located in a prime and accessible area, This Project is strategically positioned close to key urban hubs, making it a convenient choice for both families and professionals. With its attention to detail and focus on delivering a high-quality living experience, It is the perfect choice for those seeking a distinctive and well-rounded residential or commercial property.",https://www.aqaar.com/projects/3eb8dd4b-0ad1-e811-a2b8-00155d119707,PRJ-46,Leasing,"Studio, 1, 2, 3 Bedrooms for rent",15600,AED,official,600515155,info@aqaar.com,971600515155,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728555812/Aqaar/Main%20Portal/community/images/Al_Berouj_3/_DSC1822-1728555811.jpg,"[""https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Berouj%203&pageNumber=1&pageSize=100""]",2026-06-24,0.86
