property_id,project_id,property_name,developer,listing_url,property_type,sub_type,bedrooms,bathrooms,bua,plot_size,price,currency,ownership_type,status,source_url,last_verified
property_60b8dd4b_0ad1_e811_a2b8_00155d119707,60b8dd4b_0ad1_e811_a2b8_00155d119707,Ajman American International School,Aqaar,https://www.aqaar.com/projects/60b8dd4b-0ad1-e811-a2b8-00155d119707,education,education,unknown,unknown,unknown,unknown,on_request,unknown,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20American%20International%20School&pageNumber=1&pageSize=100,2026-06-24
property_ccb8dd4b_0ad1_e811_a2b8_00155d119707,ccb8dd4b_0ad1_e811_a2b8_00155d119707,Ajman Corniche Residences,Aqaar,https://www.aqaar.com/projects/ccb8dd4b-0ad1-e811-a2b8-00155d119707,residential,residential,unknown,unknown,unknown,unknown,236000,AED,unknown,sold_out,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Corniche%20Residences&pageNumber=1&pageSize=100,2026-06-24
property_2eb8dd4b_0ad1_e811_a2b8_00155d119707,2eb8dd4b_0ad1_e811_a2b8_00155d119707,Ajman One,Aqaar,https://www.aqaar.com/projects/2eb8dd4b-0ad1-e811-a2b8-00155d119707,residential,residential,unknown,unknown,unknown,unknown,263000,AED,unknown,sold_out,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20One&pageNumber=1&pageSize=100,2026-06-24
property_22796319_20da_ee11_a2bf_00155d119841,22796319_20da_ee11_a2bf_00155d119841,Ajman One - PH II,Aqaar,https://www.aqaar.com/projects/22796319-20da-ee11-a2bf-00155d119841,residential,FreeHold,unknown,unknown,unknown,unknown,316000,AED,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20One%20-%20PH%20II&pageNumber=1&pageSize=100,2026-06-24
property_7f307ab5_a6a9_ea11_a2c3_00155d119619,7f307ab5_a6a9_ea11_a2c3_00155d119619,Ajman Pearl,Aqaar,https://www.aqaar.com/projects/7f307ab5-a6a9-ea11-a2c3-00155d119619,residential,residential,unknown,unknown,unknown,unknown,183500,AED,unknown,sold_out,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Pearl&pageNumber=1&pageSize=100,2026-06-24
property_66b8dd4b_0ad1_e811_a2b8_00155d119707,66b8dd4b_0ad1_e811_a2b8_00155d119707,Ajman Society Cooperative (Rumailah),Aqaar,https://www.aqaar.com/projects/66b8dd4b-0ad1-e811-a2b8-00155d119707,mixed_use,mixed_use,unknown,unknown,unknown,unknown,on_request,unknown,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Society%20Cooperative%20(Rumailah)&pageNumber=1&pageSize=100,2026-06-24
property_2a565476_ed0f_ee11_a2be_00155d119f33,2a565476_ed0f_ee11_a2be_00155d119f33,Ajman Uptown,Aqaar,https://www.aqaar.com/projects/2a565476-ed0f-ee11-a2be-00155d119f33,residential,residential,unknown,unknown,unknown,unknown,979000,AED,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Uptown&pageNumber=1&pageSize=100,2026-06-24
property_f6b7dd4b_0ad1_e811_a2b8_00155d119707,f6b7dd4b_0ad1_e811_a2b8_00155d119707,Al Andalus 4,Aqaar,https://www.aqaar.com/projects/f6b7dd4b-0ad1-e811-a2b8-00155d119707,residential,residential,unknown,unknown,unknown,unknown,20000,AED,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Andalus%204&pageNumber=1&pageSize=100,2026-06-24
property_96b8dd4b_0ad1_e811_a2b8_00155d119707,96b8dd4b_0ad1_e811_a2b8_00155d119707,Al Arabi Building,Aqaar,https://www.aqaar.com/projects/96b8dd4b-0ad1-e811-a2b8-00155d119707,residential,residential,unknown,unknown,unknown,unknown,35500,AED,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Arabi%20Building&pageNumber=1&pageSize=100,2026-06-24
property_3ab8dd4b_0ad1_e811_a2b8_00155d119707,3ab8dd4b_0ad1_e811_a2b8_00155d119707,Al Berouj 1,Aqaar,https://www.aqaar.com/projects/3ab8dd4b-0ad1-e811-a2b8-00155d119707,residential,residential,unknown,unknown,unknown,unknown,19200,AED,unknown,active,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Berouj%201&pageNumber=1&pageSize=100,2026-06-24
