audit_id,entity_id,field_name,field_value,source_url,evidence_snippet,capture_timestamp
audit_60b8dd4b_0ad1_e811_a2b8_00155d119707_project_name_1,60b8dd4b_0ad1_e811_a2b8_00155d119707,project_name,Ajman American International School,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20American%20International%20School&pageNumber=1&pageSize=100,project_name: Ajman American International School,2026-06-24T09:31:12.532Z
audit_60b8dd4b_0ad1_e811_a2b8_00155d119707_developer_2,60b8dd4b_0ad1_e811_a2b8_00155d119707,developer,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20American%20International%20School&pageNumber=1&pageSize=100,developer: Aqaar,2026-06-24T09:31:12.532Z
audit_60b8dd4b_0ad1_e811_a2b8_00155d119707_project_code_3,60b8dd4b_0ad1_e811_a2b8_00155d119707,project_code,PRJ-63,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20American%20International%20School&pageNumber=1&pageSize=100,project_code: PRJ-63,2026-06-24T09:31:12.532Z
audit_60b8dd4b_0ad1_e811_a2b8_00155d119707_project_for_4,60b8dd4b_0ad1_e811_a2b8_00155d119707,project_for,Leasing,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20American%20International%20School&pageNumber=1&pageSize=100,project_for: Leasing,2026-06-24T09:31:12.532Z
audit_60b8dd4b_0ad1_e811_a2b8_00155d119707_latitude_5,60b8dd4b_0ad1_e811_a2b8_00155d119707,latitude,25.417402,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20American%20International%20School&pageNumber=1&pageSize=100,latitude: 25.417402,2026-06-24T09:31:12.532Z
audit_60b8dd4b_0ad1_e811_a2b8_00155d119707_longitude_6,60b8dd4b_0ad1_e811_a2b8_00155d119707,longitude,55.502815,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20American%20International%20School&pageNumber=1&pageSize=100,longitude: 55.502815,2026-06-24T09:31:12.532Z
audit_60b8dd4b_0ad1_e811_a2b8_00155d119707_telephone_7,60b8dd4b_0ad1_e811_a2b8_00155d119707,telephone,600515155,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20American%20International%20School&pageNumber=1&pageSize=100,telephone: 600515155,2026-06-24T09:31:12.532Z
audit_60b8dd4b_0ad1_e811_a2b8_00155d119707_email_8,60b8dd4b_0ad1_e811_a2b8_00155d119707,email,info@aqaar.com,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20American%20International%20School&pageNumber=1&pageSize=100,email: info@aqaar.com,2026-06-24T09:31:12.532Z
audit_ccb8dd4b_0ad1_e811_a2b8_00155d119707_project_name_1,ccb8dd4b_0ad1_e811_a2b8_00155d119707,project_name,Ajman Corniche Residences,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Corniche%20Residences&pageNumber=1&pageSize=100,project_name: Ajman Corniche Residences,2026-06-24T09:31:12.532Z
audit_ccb8dd4b_0ad1_e811_a2b8_00155d119707_developer_2,ccb8dd4b_0ad1_e811_a2b8_00155d119707,developer,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Corniche%20Residences&pageNumber=1&pageSize=100,developer: Aqaar,2026-06-24T09:31:12.532Z
audit_ccb8dd4b_0ad1_e811_a2b8_00155d119707_project_code_3,ccb8dd4b_0ad1_e811_a2b8_00155d119707,project_code,PRJ-117,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Corniche%20Residences&pageNumber=1&pageSize=100,project_code: PRJ-117,2026-06-24T09:31:12.532Z
audit_ccb8dd4b_0ad1_e811_a2b8_00155d119707_project_for_4,ccb8dd4b_0ad1_e811_a2b8_00155d119707,project_for,Sales,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Corniche%20Residences&pageNumber=1&pageSize=100,project_for: Sales,2026-06-24T09:31:12.532Z
audit_ccb8dd4b_0ad1_e811_a2b8_00155d119707_sales_status_text_5,ccb8dd4b_0ad1_e811_a2b8_00155d119707,sales_status_text,100% Sold out,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Corniche%20Residences&pageNumber=1&pageSize=100,sales_status_text: 100% Sold out,2026-06-24T09:31:12.532Z
audit_ccb8dd4b_0ad1_e811_a2b8_00155d119707_start_price_6,ccb8dd4b_0ad1_e811_a2b8_00155d119707,start_price,236000,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Corniche%20Residences&pageNumber=1&pageSize=100,start_price: 236000,2026-06-24T09:31:12.532Z
audit_ccb8dd4b_0ad1_e811_a2b8_00155d119707_project_description_7,ccb8dd4b_0ad1_e811_a2b8_00155d119707,project_description,"Ajman Corniche Residences is a premier real estate development that exemplifies thoughtful design and modern living. The project offers a mix of residential units and commercial spaces, catering to a variety of customer needs. With its blend of contemporary architecture and quality craftsmanship, the development ensures a comfortable and refined living experience for its residents. The units within the project feature diverse layouts and high-quality finishes, meeting global standards to provide a sophisticated environment. Whether it's spacious family flat or modern apartments, each property is designed to accommodate a wide range of preferences. Located in a prime and accessible area, This Project is strategically positioned close to key urban hubs, making it a convenient choice for both families and professionals. With its attention to detail and focus on delivering a high-quality living experience, It is the perfect choice for those seeking a distinctive and well-rounded residential or commercial property.",https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Corniche%20Residences&pageNumber=1&pageSize=100,"project_description: Ajman Corniche Residences is a premier real estate development that exemplifies thoughtful design and modern living. The project offers a mix of residential units and commercial spaces, catering to a variety of customer needs. With its blend of contemporary a",2026-06-24T09:31:12.532Z
audit_ccb8dd4b_0ad1_e811_a2b8_00155d119707_latitude_8,ccb8dd4b_0ad1_e811_a2b8_00155d119707,latitude,25.4045314,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Corniche%20Residences&pageNumber=1&pageSize=100,latitude: 25.4045314,2026-06-24T09:31:12.532Z
audit_ccb8dd4b_0ad1_e811_a2b8_00155d119707_longitude_9,ccb8dd4b_0ad1_e811_a2b8_00155d119707,longitude,55.4300412,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Corniche%20Residences&pageNumber=1&pageSize=100,longitude: 55.4300412,2026-06-24T09:31:12.532Z
